,mac_addr,slot_id,rl_sinr,rl_mod_code_pt,databus_timestamp,year,month,day
0,00:a0:bc:87:86:c2,52,5.16,rl_qpsk_3_8,1533744055,2018,8,8
1,00:a0:bc:87:86:c2,18,5.15,rl_qpsk_3_8,1533744055,2018,8,8
2,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744055,2018,8,8
3,00:a0:bc:87:86:c2,18,5.15,rl_qpsk_3_8,1533744115,2018,8,8
4,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744115,2018,8,8
5,00:a0:bc:87:86:c2,52,5.57,rl_qpsk_3_8,1533744115,2018,8,8
6,00:a0:bc:87:86:c2,18,4.37,rl_qpsk_3_8,1533744175,2018,8,8
7,00:a0:bc:87:86:c2,52,5.07,rl_qpsk_3_8,1533744175,2018,8,8
8,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744175,2018,8,8
9,00:a0:bc:87:86:c2,52,4.84,rl_qpsk_3_8,1533744235,2018,8,8
10,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744235,2018,8,8
11,00:a0:bc:87:86:c2,18,4.77,rl_qpsk_3_8,1533744235,2018,8,8
12,00:a0:bc:87:86:c2,18,4.15,rl_qpsk_3_8,1533744295,2018,8,8
13,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744295,2018,8,8
14,00:a0:bc:87:86:c2,52,4.02,rl_qpsk_3_8,1533744295,2018,8,8
15,00:a0:bc:87:86:c2,52,5.36,rl_qpsk_3_8,1533744355,2018,8,8
16,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744355,2018,8,8
17,00:a0:bc:87:86:c2,18,4.19,rl_qpsk_3_8,1533744355,2018,8,8
18,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744415,2018,8,8
19,00:a0:bc:87:86:c2,18,4.19,rl_qpsk_3_8,1533744415,2018,8,8
20,00:a0:bc:87:86:c2,52,5.51,rl_qpsk_3_8,1533744415,2018,8,8
21,00:a0:bc:87:86:c2,18,4.83,rl_qpsk_3_8,1533744475,2018,8,8
22,00:a0:bc:87:86:c2,52,5.05,rl_qpsk_3_8,1533744475,2018,8,8
23,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744475,2018,8,8
24,00:a0:bc:87:86:c2,52,5.05,rl_qpsk_3_8,1533744535,2018,8,8
25,00:a0:bc:87:86:c2,21,6.25,rl_qpsk_3_8,1533744535,2018,8,8
26,00:a0:bc:87:86:c2,18,4.25,rl_qpsk_3_8,1533744535,2018,8,8
27,00:a0:bc:87:86:c2,18,4.67,rl_qpsk_3_8,1533744595,2018,8,8
28,00:a0:bc:87:86:c2,52,5.38,rl_qpsk_3_8,1533744595,2018,8,8
29,00:a0:bc:87:86:c2,21,5.18,rl_qpsk_3_8,1533744595,2018,8,8
30,00:a0:bc:87:86:c2,52,5.21,rl_qpsk_3_8,1533744655,2018,8,8
31,00:a0:bc:87:86:c2,21,5.18,rl_qpsk_3_8,1533744655,2018,8,8
32,00:a0:bc:87:86:c2,18,4.67,rl_qpsk_3_8,1533744655,2018,8,8
33,00:a0:bc:87:86:c2,18,3.21,rl_qpsk_3_8,1533744715,2018,8,8
34,00:a0:bc:87:86:c2,52,5.66,rl_qpsk_3_8,1533744715,2018,8,8
35,00:a0:bc:87:86:c2,21,5.18,rl_qpsk_3_8,1533744715,2018,8,8
36,00:a0:bc:87:86:c2,21,5.18,rl_qpsk_3_8,1533744775,2018,8,8
37,00:a0:bc:87:86:c2,52,5.22,rl_qpsk_3_8,1533744775,2018,8,8
38,00:a0:bc:87:86:c2,18,4.26,rl_qpsk_3_8,1533744775,2018,8,8
39,00:a0:bc:87:86:c2,18,4.66,rl_qpsk_3_8,1533744835,2018,8,8
40,00:a0:bc:87:86:c2,21,5.18,rl_qpsk_3_8,1533744835,2018,8,8
41,00:a0:bc:87:86:c2,52,4.89,rl_qpsk_3_8,1533744835,2018,8,8
42,00:a0:bc:87:86:c2,18,4.53,rl_qpsk_3_8,1533744895,2018,8,8
43,00:a0:bc:87:86:c2,52,4.89,rl_qpsk_3_8,1533744895,2018,8,8
44,00:a0:bc:87:86:c2,21,5.96,rl_qpsk_3_8,1533744895,2018,8,8
45,00:a0:bc:87:86:c2,18,4.95,rl_qpsk_3_8,1533744955,2018,8,8
46,00:a0:bc:87:86:c2,21,4.94,rl_qpsk_3_8,1533744955,2018,8,8
47,00:a0:bc:87:86:c2,52,5.12,rl_qpsk_3_8,1533744955,2018,8,8
48,00:a0:bc:87:86:c2,52,4.7,rl_qpsk_3_8,1533745015,2018,8,8
49,00:a0:bc:87:86:c2,18,3.83,rl_qpsk_3_8,1533745015,2018,8,8
50,00:a0:bc:87:86:c2,21,4.83,rl_qpsk_3_8,1533745015,2018,8,8
51,00:a0:bc:87:86:c2,21,4.83,rl_qpsk_3_8,1533745075,2018,8,8
52,00:a0:bc:87:86:c2,52,5.16,rl_qpsk_3_8,1533745075,2018,8,8
53,00:a0:bc:87:86:c2,18,3.77,rl_qpsk_3_8,1533745075,2018,8,8
54,00:a0:bc:87:86:c2,21,4.83,rl_qpsk_3_8,1533745135,2018,8,8
